transaction_id,customer_id,transaction_date,transaction_time,hour_of_day,is_weekend,is_night_transaction,country,city,merchant_category,payment_method,device_type,customer_age,credit_score,account_age_years,account_balance,transaction_amount,num_prev_transactions,transaction_freq_monthly,distance_from_home_km,time_since_last_txn_hrs,is_international,failed_attempts,pin_changed_recently,is_fraud,fraud_type
TXN0000000011,CUST00112728,2020-03-05,03:16:00,3,0,1,USA,London,Clothing,Credit Card,Mobile,42,698,3.3,6556.74,229.42,166,23,16.9,1.34,0,0,0,0,
TXN0000000012,CUST00126325,2023-10-04,03:39:00,3,0,1,India,Paris,Online Shopping,Debit Card,Desktop,51,738,1.1,5857.9,12.66,156,27,22.2,11.97,0,0,0,0,
TXN0000000013,CUST00175204,2021-11-08,13:41:00,13,0,0,USA,Mexico City,Jewelry,Debit Card,POS Terminal,36,687,6.4,28616.67,199.91,164,21,22.8,10.46,0,0,0,0,
TXN0000000014,CUST00191336,2022-01-14,07:45:00,7,0,0,USA,New York,Electronics,Crypto,ATM,54,595,2.7,1722.73,146.68,144,26,2.9,22.51,0,0,0,0,
TXN0000000015,CUST00016024,2023-11-20,01:26:00,1,0,1,Germany,Munich,ATM Withdrawal,Debit Card,ATM,44,539,4.1,17352.81,31.79,140,21,67.8,18.51,0,0,0,0,
TXN0000000016,CUST00041091,2024-11-05,05:12:00,5,0,1,USA,Los Angeles,Crypto Exchange,Credit Card,ATM,19,491,2.6,2125.86,87.41,151,13,11.4,14.21,1,0,0,0,
TXN0000000017,CUST00067222,2023-08-28,03:03:00,3,0,1,USA,London,Fuel,Bank Transfer,Desktop,48,850,0.3,17628.03,169.83,145,22,32.0,6.46,0,0,0,0,
TXN0000000018,CUST00064821,2022-09-08,20:03:00,20,0,0,France,Mumbai,Online Shopping,Credit Card,Mobile,46,750,3.4,62363.12,48.72,148,20,5.2,5.96,0,0,0,0,
TXN0000000019,CUST00000770,2023-04-27,12:28:00,12,0,0,India,Sydney,Healthcare,Credit Card,Desktop,35,645,1.3,37309.95,16.3,150,24,9.9,12.33,0,0,0,0,
TXN0000000020,CUST00059736,2022-12-06,08:54:00,8,0,0,USA,Osaka,Clothing,Credit Card,Mobile,30,728,3.3,4328.88,218.76,139,20,46.4,23.58,0,2,0,0,
TXN0000000021,CUST00194028,2021-01-23,06:03:00,6,1,1,USA,Manchester,Online Shopping,Credit Card,Desktop,18,713,6.5,1268.42,31.09,127,16,2.2,4.88,0,0,0,0,
TXN0000000022,CUST00064926,2024-09-13,17:57:00,17,0,0,Mexico,New York,ATM Withdrawal,Debit Card,Desktop,33,739,1.9,29532.27,280.27,115,27,9.5,12.8,0,0,0,0,
TXN0000000023,CUST00199042,2021-10-22,00:02:00,0,0,1,India,São Paulo,Utilities,Bank Transfer,Mobile,43,404,2.0,56214.4,88.61,165,12,3.8,12.44,1,0,0,0,
TXN0000000024,CUST00005312,2024-08-17,04:59:00,4,1,1,USA,Toronto,Fuel,Bank Transfer,Desktop,28,685,23.9,1585.69,98.78,129,16,0.3,1.07,0,0,0,0,
TXN0000000025,CUST00103356,2024-09-09,11:52:00,11,0,0,USA,London,Utilities,Credit Card,POS Terminal,47,717,12.3,4613.25,56.16,127,23,1.9,15.13,0,0,1,0,
TXN0000000026,CUST00184780,2023-05-03,03:40:00,3,0,1,Australia,Vancouver,Clothing,Crypto,Mobile,41,675,3.9,2318.66,111.26,144,22,23.5,9.2,0,0,0,0,
TXN0000000027,CUST00085306,2023-01-15,05:44:00,5,1,1,UK,New York,Clothing,Bank Transfer,Desktop,48,616,2.7,11064.5,13.6,145,21,2.0,0.54,0,0,0,0,
TXN0000000028,CUST00159766,2021-06-09,02:31:00,2,0,1,Japan,São Paulo,Crypto Exchange,Bank Transfer,POS Terminal,54,687,7.3,1985.95,26.33,136,26,0.9,1.23,1,5,0,1,Synthetic Identity
TXN0000000029,CUST00130609,2022-02-25,11:07:00,11,0,0,Mexico,Vancouver,Restaurant,Debit Card,POS Terminal,29,730,7.0,49900.06,143.43,166,19,4.3,1.22,0,0,0,0,
TXN0000000030,CUST00156731,2023-08-28,18:10:00,18,0,0,Germany,Berlin,ATM Withdrawal,Credit Card,Mobile,30,850,4.6,870.06,58.65,134,26,4.5,21.35,0,1,1,0,
TXN0000000031,CUST00084479,2022-06-15,03:22:00,3,0,1,Canada,Munich,Clothing,Cheque,Mobile,47,635,0.1,19469.92,76.4,148,14,103.7,15.53,0,0,0,0,
TXN0000000032,CUST00122538,2024-05-20,17:05:00,17,0,0,UK,Manchester,Online Shopping,Debit Card,Mobile,26,657,0.5,19788.99,65.96,143,24,6.7,15.43,0,0,0,0,
TXN0000000033,CUST00149504,2021-10-26,01:13:00,1,0,1,Germany,Manchester,Clothing,Debit Card,Tablet,47,735,2.8,72621.56,10.26,158,17,7.8,25.81,0,0,0,0,
TXN0000000034,CUST00130524,2023-08-15,02:46:00,2,0,1,India,Vancouver,ATM Withdrawal,Debit Card,Tablet,25,664,3.4,19938.54,168.15,152,28,4.2,8.42,1,0,0,0,
TXN0000000035,CUST00002748,2021-03-30,16:19:00,16,0,0,India,London,Travel,Credit Card,Mobile,32,722,2.1,2377.87,824.35,134,30,34.1,15.96,1,0,0,0,
TXN0000000036,CUST00123856,2023-12-09,14:45:00,14,1,0,USA,Sydney,Healthcare,Credit Card,Mobile,40,536,3.3,204539.62,309.62,135,22,0.7,22.73,0,3,0,0,
TXN0000000037,CUST00190223,2022-08-24,04:11:00,4,0,1,USA,Toronto,Healthcare,Debit Card,Mobile,45,669,1.3,2900.79,101.99,155,21,6.9,33.71,0,2,0,0,
TXN0000000038,CUST00065726,2021-02-27,05:51:00,5,1,1,India,Vancouver,Crypto Exchange,Crypto,Desktop,43,829,3.8,6084.67,56.15,169,12,22.8,28.19,0,2,0,0,
TXN0000000039,CUST00129982,2024-05-09,07:25:00,7,0,0,Germany,Melbourne,Grocery,Debit Card,ATM,29,688,15.4,5072.17,3.88,154,24,14.7,3.11,0,0,0,0,
TXN0000000040,CUST00084655,2023-01-03,16:32:00,16,0,0,Brazil,New York,Fuel,Debit Card,Mobile,49,762,7.7,1265.38,20.08,148,19,0.3,5.09,0,1,0,0,
TXN0000000041,CUST00166846,2020-06-14,03:31:00,3,1,1,Germany,Delhi,ATM Withdrawal,Credit Card,Mobile,44,699,2.0,675.35,45.65,172,21,10.8,33.16,0,0,0,0,
TXN0000000042,CUST00119347,2024-08-19,08:44:00,8,0,0,USA,Rio,Entertainment,Credit Card,Tablet,45,648,5.5,19660.32,44.22,174,21,22.3,37.85,0,0,1,0,
TXN0000000043,CUST00067436,2024-09-22,06:58:00,6,1,1,USA,Delhi,Online Shopping,Credit Card,Mobile,33,571,15.2,14294.4,4.14,143,20,1.9,9.86,0,0,1,0,
TXN0000000044,CUST00056887,2022-05-05,16:56:00,16,0,0,USA,Manchester,ATM Withdrawal,Mobile Payment,Mobile,55,761,2.8,32900.05,71.78,152,20,14.5,2.71,0,0,0,0,
TXN0000000045,CUST00066804,2023-03-11,19:32:00,19,1,0,USA,Berlin,Grocery,Bank Transfer,Mobile,60,850,13.3,302.7,12.81,150,17,5.8,9.86,0,0,1,0,
TXN0000000046,CUST00031552,2021-06-02,00:59:00,0,0,1,India,Munich,Online Shopping,Mobile Payment,POS Terminal,18,796,17.3,14058.04,49.94,138,21,10.9,17.54,0,1,0,0,
TXN0000000047,CUST00116217,2024-09-29,03:54:00,3,1,1,USA,Toronto,Education,Mobile Payment,Tablet,52,562,2.2,1563.52,71.28,157,20,1.8,20.55,0,0,0,0,
TXN0000000048,CUST00011395,2023-07-24,07:19:00,7,0,0,Japan,Sydney,Education,Credit Card,Desktop,63,645,10.0,14298.52,60.98,135,19,6.1,0.93,1,0,0,0,
TXN0000000049,CUST00069093,2021-11-19,10:24:00,10,0,0,Mexico,London,Grocery,Credit Card,Mobile,48,597,3.7,25659.64,16.79,147,20,18.1,3.6,0,0,0,0,
TXN0000000050,CUST00003891,2024-09-18,07:00:00,7,0,0,USA,Mexico City,Jewelry,Credit Card,Desktop,25,681,0.4,1481.51,48.76,167,22,62.0,19.65,0,0,1,0,
TXN0000000051,CUST00041607,2020-04-30,15:43:00,15,0,0,Brazil,Berlin,Clothing,Debit Card,Tablet,24,785,0.5,2000.24,30.38,170,14,17.1,16.74,0,1,0,0,
TXN0000000052,CUST00087314,2020-10-04,16:31:00,16,1,0,USA,Melbourne,Crypto Exchange,Debit Card,ATM,27,620,7.8,19465.67,26.62,126,13,9.2,4.43,0,0,0,0,
TXN0000000053,CUST00141700,2020-02-09,13:36:00,13,1,0,Japan,São Paulo,Clothing,Credit Card,Mobile,37,777,2.0,2385.17,55.28,156,18,14.3,56.84,1,0,0,0,
TXN0000000054,CUST00008793,2021-05-23,18:03:00,18,1,0,Brazil,Tokyo,Education,Credit Card,Desktop,27,622,15.5,85502.03,28.94,139,19,17.8,11.4,0,0,0,0,
TXN0000000055,CUST00174074,2023-11-11,02:17:00,2,1,1,USA,Munich,Healthcare,Mobile Payment,Mobile,18,766,4.5,4340.03,74.84,156,16,66.1,3.96,0,0,0,0,
TXN0000000056,CUST00154970,2021-12-31,11:11:00,11,0,0,Canada,Manchester,Entertainment,Debit Card,Mobile,41,567,3.1,38192.51,58.72,148,17,44.2,1.81,0,0,0,0,
TXN0000000057,CUST00068149,2020-06-03,06:15:00,6,0,1,USA,Mexico City,Clothing,Credit Card,Mobile,37,500,7.9,8845.94,90.94,134,19,8.6,13.39,0,1,0,0,
TXN0000000058,CUST00124244,2023-05-27,23:07:00,23,1,1,USA,Toronto,Electronics,Bank Transfer,Desktop,54,850,13.1,92790.57,206.17,191,19,39.7,0.13,1,1,0,0,
TXN0000000059,CUST00120175,2022-04-03,03:02:00,3,1,1,Brazil,Delhi,Gaming,Mobile Payment,POS Terminal,58,635,2.9,9367.53,50.29,154,21,5.0,15.1,0,3,0,0,
TXN0000000060,CUST00154556,2021-08-11,00:12:00,0,0,1,USA,Toronto,Restaurant,Cheque,POS Terminal,46,711,30.0,3811.63,47.8,155,16,1.9,2.29,0,0,0,0,
TXN0000000061,CUST00124359,2021-12-26,14:27:00,14,1,0,USA,New York,Gaming,Credit Card,Mobile,28,789,4.0,14428.29,13.5,162,19,0.1,5.79,0,0,0,0,
TXN0000000062,CUST00048556,2021-08-17,18:29:00,18,0,0,USA,Guadalajara,Education,Bank Transfer,Mobile,48,650,0.4,59813.8,19.17,154,23,8.8,2.22,1,0,0,0,
TXN0000000063,CUST00017160,2020-09-14,21:51:00,21,0,0,Canada,Vancouver,Crypto Exchange,Crypto,Mobile,20,718,2.6,102271.39,98.6,164,19,4.0,31.7,0,1,0,0,
TXN0000000064,CUST00110511,2022-03-10,04:58:00,4,0,1,Brazil,Los Angeles,Travel,Credit Card,Mobile,37,671,1.0,8549.02,101.78,148,13,3.5,1.92,0,0,0,1,Identity Theft
TXN0000000065,CUST00106531,2024-05-18,11:01:00,11,1,0,USA,Manchester,Clothing,Debit Card,Desktop,33,692,0.3,53392.82,81.96,148,24,14.2,13.62,0,0,0,0,
TXN0000000066,CUST00080078,2024-01-10,02:17:00,2,0,1,Germany,Guadalajara,Electronics,Mobile Payment,Desktop,26,611,6.8,5604.2,808.77,132,21,1.3,38.3,0,0,0,0,
TXN0000000067,CUST00035921,2023-07-02,12:47:00,12,1,0,Brazil,Mexico City,Healthcare,Debit Card,Mobile,45,811,8.6,8384.86,13.49,129,19,18.0,5.09,0,0,0,0,
TXN0000000068,CUST00198194,2021-10-29,20:53:00,20,0,0,Germany,Guadalajara,Grocery,Mobile Payment,Mobile,32,820,6.4,13879.57,38.86,160,18,25.5,14.06,0,0,0,0,
TXN0000000069,CUST00019458,2022-03-03,18:33:00,18,0,0,Mexico,Mumbai,Online Shopping,Debit Card,Mobile,38,756,0.9,143520.92,23.5,166,19,5.5,1.98,0,0,0,0,
TXN0000000070,CUST00197630,2020-07-13,20:46:00,20,0,0,UK,Guadalajara,Jewelry,Credit Card,Mobile,51,655,1.1,14808.91,169.93,159,21,2.7,1.23,1,1,1,0,
TXN0000000071,CUST00078954,2021-10-17,09:30:00,9,1,0,Canada,New York,Utilities,Debit Card,Desktop,43,716,4.1,8222.47,13.59,157,15,8.7,88.55,0,0,0,0,
TXN0000000072,CUST00052996,2021-08-02,10:30:00,10,0,0,USA,Manchester,Electronics,Debit Card,Mobile,62,700,2.6,9598.52,96.7,135,20,12.2,1.31,0,0,0,0,
TXN0000000073,CUST00171830,2024-08-18,09:43:00,9,1,0,Mexico,New York,Education,Debit Card,Mobile,33,442,9.8,21450.89,124.81,149,9,88.6,1.72,0,2,0,1,Account Takeover
TXN0000000074,CUST00009693,2020-01-05,04:00:00,4,1,1,India,São Paulo,Utilities,Debit Card,Desktop,45,624,2.6,19693.34,82.18,156,19,9.9,2.48,0,0,0,0,
TXN0000000075,CUST00176831,2022-11-03,15:05:00,15,0,0,USA,Delhi,Entertainment,Debit Card,POS Terminal,69,742,5.4,37360.82,9.41,139,13,77.0,2.45,0,0,0,0,
TXN0000000076,CUST00196770,2023-03-19,05:07:00,5,1,1,UK,Toronto,Restaurant,Credit Card,Mobile,28,766,1.6,16818.6,11.7,170,21,5.4,6.85,0,0,1,0,
TXN0000000077,CUST00037066,2023-02-21,14:04:00,14,0,0,Australia,Tokyo,Restaurant,Debit Card,POS Terminal,44,724,4.4,3260.3,42.04,137,27,25.1,32.25,0,0,0,0,
TXN0000000078,CUST00099300,2021-02-08,23:12:00,23,0,1,UK,Delhi,Grocery,Debit Card,Mobile,22,572,0.3,142800.14,29.04,137,24,11.7,7.74,0,0,1,0,
TXN0000000079,CUST00163679,2024-04-16,18:48:00,18,0,0,India,Sydney,Jewelry,Credit Card,Mobile,46,644,0.9,34936.62,270.98,136,24,5.8,12.08,0,0,0,0,
TXN0000000080,CUST00011535,2021-05-07,09:45:00,9,0,0,Japan,Berlin,Crypto Exchange,Debit Card,Mobile,20,840,4.2,871.55,104.47,139,24,13.3,10.47,0,0,0,0,
TXN0000000081,CUST00040398,2024-02-05,02:06:00,2,0,1,USA,New York,Fuel,Crypto,Desktop,55,591,8.3,24690.51,25.69,152,20,10.5,27.11,0,0,0,0,
TXN0000000082,CUST00091388,2020-10-20,08:47:00,8,0,0,Australia,Berlin,Entertainment,Credit Card,Mobile,68,685,0.7,2031.82,106.78,141,22,20.4,10.21,0,0,0,0,
TXN0000000083,CUST00001017,2024-12-24,04:33:00,4,0,1,USA,Sydney,Gaming,Debit Card,Mobile,38,740,5.4,6406.21,118.55,140,18,14.7,10.5,1,0,1,0,
TXN0000000084,CUST00055592,2021-02-10,04:33:00,4,0,1,Mexico,Melbourne,ATM Withdrawal,Credit Card,Tablet,25,701,0.1,14283.02,26.26,152,28,4.6,13.75,0,0,0,0,
TXN0000000085,CUST00023248,2022-10-11,19:44:00,19,0,0,France,Mexico City,Crypto Exchange,Credit Card,Desktop,43,777,0.2,10409.37,193.68,135,22,23.6,6.31,0,0,0,0,
TXN0000000086,CUST00024301,2023-12-06,07:42:00,7,0,0,Germany,Guadalajara,Utilities,Bank Transfer,Mobile,50,760,1.2,2545.62,36.08,152,21,2.0,15.95,0,0,0,0,
TXN0000000087,CUST00082799,2023-06-09,17:19:00,17,0,0,Mexico,Paris,Online Shopping,Crypto,Mobile,28,740,1.1,2536.04,45.26,151,27,6.1,9.51,0,0,0,0,
TXN0000000088,CUST00009269,2024-02-20,21:52:00,21,0,0,Germany,Sydney,Entertainment,Debit Card,Desktop,27,637,5.6,19140.55,49.81,153,20,44.6,26.48,1,4,0,0,
TXN0000000089,CUST00086808,2023-01-02,09:41:00,9,0,0,Germany,Delhi,Restaurant,Debit Card,Desktop,21,850,8.1,905.32,24.14,151,23,0.1,3.93,0,0,0,0,
TXN0000000090,CUST00012186,2023-12-22,02:28:00,2,0,1,USA,Melbourne,Travel,Mobile Payment,Mobile,65,805,12.1,9224.02,1004.62,159,23,55.2,0.51,0,0,0,0,
TXN0000000091,CUST00194777,2020-03-29,00:51:00,0,1,1,India,Delhi,Education,Debit Card,Mobile,64,579,10.2,3293.03,169.98,147,18,3.8,46.0,0,0,0,0,
TXN0000000092,CUST00170172,2024-12-23,21:11:00,21,0,0,UK,Sydney,Crypto Exchange,Debit Card,Mobile,32,600,7.9,2145.64,26.02,166,21,8.0,7.42,1,5,0,0,
TXN0000000093,CUST00139644,2020-01-05,20:09:00,20,1,0,India,Berlin,Clothing,Debit Card,Mobile,62,768,10.5,49190.7,39.7,121,16,50.9,23.25,1,0,1,0,
TXN0000000094,CUST00038045,2020-10-31,15:08:00,15,1,0,France,Osaka,Online Shopping,Bank Transfer,Mobile,28,645,2.2,5331.01,85.21,169,21,2.5,41.41,0,1,0,0,
TXN0000000095,CUST00051215,2022-03-12,09:54:00,9,1,0,UK,Mumbai,Fuel,Debit Card,Tablet,46,628,5.5,7807.88,23.4,153,21,1.5,6.77,0,0,0,0,
TXN0000000096,CUST00192301,2023-04-26,13:48:00,13,0,0,Germany,Paris,Travel,Bank Transfer,Desktop,69,750,17.7,47615.97,335.35,172,19,5.7,49.96,1,0,0,0,
TXN0000000097,CUST00114753,2024-08-21,23:34:00,23,0,1,Brazil,Lyon,Travel,Mobile Payment,Mobile,58,671,8.1,52503.0,200.54,149,23,10.7,21.88,0,0,0,0,
TXN0000000098,CUST00048985,2023-10-30,08:22:00,8,0,0,USA,Melbourne,Crypto Exchange,Credit Card,Mobile,32,850,1.6,1485.4,21.1,162,22,43.5,16.84,0,0,0,0,
TXN0000000099,CUST00040775,2021-06-07,21:00:00,21,0,0,Canada,Melbourne,Clothing,Debit Card,Mobile,48,695,6.3,13550.44,194.24,137,22,19.2,7.65,0,0,0,0,
TXN0000000100,CUST00002569,2020-07-29,14:02:00,14,0,0,UK,Guadalajara,Fuel,Credit Card,Mobile,62,732,0.5,52656.79,159.13,155,19,15.1,11.72,0,0,0,0,
TXN0000000101,CUST00120152,2021-05-07,15:04:00,15,0,0,Germany,Berlin,Travel,Debit Card,Desktop,54,556,3.9,12326.02,287.38,151,22,9.3,67.77,0,0,0,0,
TXN0000000102,CUST00193665,2021-09-18,02:38:00,2,1,1,India,Mumbai,Grocery,Credit Card,Mobile,39,742,1.4,14888.52,13.66,140,19,0.4,7.0,0,0,0,0,
TXN0000000103,CUST00198636,2024-07-22,19:28:00,19,0,0,USA,Sydney,Utilities,Debit Card,Mobile,48,699,0.4,11866.76,20.35,178,27,21.7,54.14,0,0,0,0,
TXN0000000104,CUST00133768,2023-02-11,17:45:00,17,1,0,Japan,São Paulo,Clothing,Credit Card,Mobile,22,760,3.4,21594.67,17.95,151,22,42.4,1.09,0,0,0,0,
TXN0000000105,CUST00124376,2024-07-26,01:35:00,1,0,1,India,Rio,Grocery,Debit Card,Mobile,70,660,7.7,3368.43,246.7,136,6,2.8,14.78,1,0,0,0,
TXN0000000106,CUST00179263,2021-11-05,12:16:00,12,0,0,Brazil,Rio,Gaming,Bank Transfer,Desktop,22,604,1.7,3731.73,44.19,150,31,6.7,4.91,0,0,0,0,
TXN0000000107,CUST00136331,2020-03-15,15:19:00,15,1,0,Japan,Delhi,Grocery,Debit Card,Mobile,21,758,4.9,667.96,88.88,134,24,43.1,0.15,0,0,0,1,Friendly Fraud
TXN0000000108,CUST00039505,2024-04-10,08:41:00,8,0,0,UK,Paris,Restaurant,Bank Transfer,Tablet,68,710,4.6,2850.7,11.69,143,25,13.3,1.51,0,0,0,0,
TXN0000000109,CUST00164232,2024-10-02,09:24:00,9,0,0,USA,São Paulo,Gaming,Credit Card,Mobile,24,557,0.5,55953.29,5.49,160,18,27.6,0.81,0,0,0,0,
TXN0000000110,CUST00013987,2020-11-13,13:24:00,13,0,0,Japan,Munich,Restaurant,Debit Card,Desktop,57,531,4.8,3688.09,115.04,134,22,10.8,5.91,0,2,1,0,
TXN0000000111,CUST00061859,2024-04-26,07:51:00,7,0,0,Canada,Mexico City,Education,Mobile Payment,Desktop,37,665,1.3,23812.92,76.05,154,20,24.9,0.47,0,0,0,0,
TXN0000000112,CUST00129313,2020-07-02,11:23:00,11,0,0,USA,São Paulo,ATM Withdrawal,Debit Card,Mobile,62,519,9.1,1126.51,86.13,148,18,21.2,14.96,0,0,0,0,
TXN0000000113,CUST00012667,2022-04-28,02:20:00,2,0,1,USA,Mumbai,Jewelry,Debit Card,Desktop,42,674,4.4,17513.39,1098.02,171,21,8.9,2.8,0,0,0,0,
TXN0000000114,CUST00038661,2022-10-30,23:23:00,23,1,1,Brazil,Mumbai,ATM Withdrawal,Mobile Payment,Mobile,39,604,2.9,1580.8,23.18,147,20,51.2,5.35,0,1,0,0,
TXN0000000115,CUST00134634,2020-11-24,04:04:00,4,0,1,USA,Delhi,Online Shopping,Debit Card,Mobile,49,645,4.5,4979.03,211.11,169,16,36.5,7.94,0,0,0,0,
TXN0000000116,CUST00026855,2023-07-07,02:01:00,2,0,1,Germany,Melbourne,Clothing,Mobile Payment,Desktop,32,611,3.2,13947.93,26.51,138,20,34.2,0.37,0,0,0,0,
TXN0000000117,CUST00064506,2022-07-03,07:30:00,7,1,0,USA,Delhi,Grocery,Crypto,ATM,18,747,3.1,3602.58,133.41,161,20,6.8,10.93,0,0,0,0,
TXN0000000118,CUST00104489,2021-02-09,21:44:00,21,0,0,Canada,Toronto,Jewelry,Debit Card,POS Terminal,27,662,1.6,12421.22,73.4,164,10,1.0,2.84,0,0,0,0,
TXN0000000119,CUST00183324,2022-09-20,15:10:00,15,0,0,Canada,São Paulo,Clothing,Crypto,POS Terminal,41,695,8.4,8370.99,6.89,154,23,20.0,3.06,0,0,0,0,
TXN0000000120,CUST00022663,2023-12-28,05:04:00,5,0,1,India,São Paulo,ATM Withdrawal,Credit Card,POS Terminal,29,765,2.3,1210.95,22.06,155,29,38.0,23.67,0,0,0,1,Identity Theft
TXN0000000121,CUST00008393,2020-07-04,09:39:00,9,1,0,France,São Paulo,Restaurant,Debit Card,POS Terminal,43,566,4.3,8968.29,123.47,164,18,1.0,10.92,1,0,0,0,
TXN0000000122,CUST00030536,2022-01-05,20:46:00,20,0,0,UK,Rio,Gaming,Bank Transfer,ATM,54,620,8.3,21364.09,46.59,147,24,3.8,12.06,0,0,0,0,
TXN0000000123,CUST00113570,2022-06-30,13:51:00,13,0,0,Mexico,London,Education,Mobile Payment,Desktop,62,595,4.0,3211.16,113.83,168,22,11.9,0.18,0,3,1,0,
TXN0000000124,CUST00052257,2022-05-21,07:14:00,7,1,0,Germany,Lyon,ATM Withdrawal,Crypto,Mobile,28,670,4.6,1109.8,22.25,151,20,16.4,17.97,1,1,0,0,
TXN0000000125,CUST00089136,2023-10-21,07:19:00,7,1,0,UK,Los Angeles,Grocery,Credit Card,Mobile,52,661,1.2,1858.08,32.79,146,17,35.5,17.22,0,0,0,0,
TXN0000000126,CUST00127479,2022-08-19,23:46:00,23,0,1,USA,Delhi,Restaurant,Debit Card,Mobile,43,672,2.2,17649.0,86.61,164,20,0.3,0.83,0,5,0,0,
TXN0000000127,CUST00035223,2021-04-21,01:08:00,1,0,1,UK,Tokyo,Gaming,Credit Card,Mobile,55,715,4.3,8115.35,124.9,151,27,33.7,3.28,0,0,1,1,Account Takeover
TXN0000000128,CUST00077374,2021-05-10,15:33:00,15,0,0,Germany,Sydney,Travel,Bank Transfer,Mobile,29,777,2.5,635.85,403.37,151,17,8.2,31.28,0,1,0,0,
TXN0000000129,CUST00123685,2024-01-04,16:26:00,16,0,0,Canada,Toronto,Healthcare,Debit Card,Desktop,18,726,3.1,35825.89,28.08,147,14,26.1,24.59,0,0,0,0,
TXN0000000130,CUST00194408,2020-10-01,13:40:00,13,0,0,USA,Guadalajara,Entertainment,Credit Card,Desktop,42,616,0.2,20681.11,133.48,131,19,16.7,9.45,1,0,0,0,
TXN0000000131,CUST00010966,2024-08-25,15:15:00,15,1,0,USA,Manchester,Gaming,Debit Card,Mobile,25,622,8.6,21918.25,33.92,160,19,27.9,15.2,0,0,0,0,
TXN0000000132,CUST00024539,2021-04-11,18:44:00,18,1,0,USA,London,Grocery,Debit Card,Desktop,42,764,3.6,897.41,250.55,152,17,1.5,45.32,0,0,0,0,
TXN0000000133,CUST00108067,2022-07-13,03:06:00,3,0,1,France,Manchester,Online Shopping,Bank Transfer,ATM,26,669,0.5,5451.56,36.02,152,18,33.1,4.06,0,2,0,0,
TXN0000000134,CUST00113253,2022-01-07,08:10:00,8,0,0,USA,London,Clothing,Credit Card,Mobile,52,669,12.6,25024.34,63.35,132,16,88.8,8.7,0,0,0,0,
TXN0000000135,CUST00139183,2023-06-03,05:24:00,5,1,1,USA,Toronto,Online Shopping,Mobile Payment,Mobile,46,558,6.8,47365.89,41.65,160,17,55.0,36.82,0,0,0,0,
TXN0000000136,CUST00158339,2021-03-24,23:45:00,23,0,1,USA,London,Utilities,Credit Card,Tablet,18,714,8.1,11988.66,232.56,150,12,22.2,1.83,1,0,0,1,Phishing
TXN0000000137,CUST00184065,2022-06-16,09:29:00,9,0,0,UK,Melbourne,Education,Credit Card,Tablet,45,650,10.3,80941.67,1.94,160,16,23.4,7.05,1,0,0,0,
TXN0000000138,CUST00098807,2023-09-17,20:03:00,20,1,0,UK,Los Angeles,Grocery,Debit Card,Mobile,20,805,0.9,3249.82,92.57,151,25,13.8,11.23,1,0,0,0,
TXN0000000139,CUST00137983,2024-09-11,23:45:00,23,0,1,UK,Mexico City,Restaurant,Debit Card,Mobile,33,696,0.2,9528.49,17.95,153,19,40.7,4.36,0,0,0,0,
